Título,Descrição,URL
Tutorial: Como usar e dominar o Teams da Microsoft (1),"O Teams da Microsoft é provavelmente a melhor ferramenta para trabalho colaborativo, para equipas. A sua utilização não é difícil, mas o Pplware irá disponibilizar tutoriais de como usar algumas funcionalidades e também algumas...",https://pplware.sapo.pt/internet/tutorial-como-usar-e-dominar-o-teams-da-microsoft-1/
6 avanços da Inteligência Artificial que até parecem mentira,"Rapidamente incorporadas ao nosso cotidiano, as tecnologias orientadas por Inteligências Artificiais tiveram um grande salto nos últimos anos. Curiosamente, muitas dessas plataformas pareciam algo extremamente distante da nossa realidade.O TecMundo reuniu sei…",https://www.tecmundo.com.br/software/262442-6-avancos-inteligencia-artificial-parecem-mentira.htm
Youtuber usa o ChatGPT para “piratear” e ativar o Windows,"As licenças da Microsoft são produzidos com base num algoritmo que a própria empresa desenvolveu e usa. Contudo, utilizando as capacidades de cálculo do ChatGPT este entregou a chave de acesso ao Windows 95....",https://pplware.sapo.pt/inteligencia-artificial/youtuber-usa-o-chatgpt-para-piratear-e-ativar-o-windows/
Roku vai demitir mais 200 funcionários; empresa tenta se estabilizar,"Esse será o segundo grande corte de funcionários da empresa nos últimos meses
O post Roku vai demitir mais 200 funcionários; empresa tenta se estabilizar apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/04/01/pro/roku-vai-demitir-mais-200-funcionarios-empresa-tenta-se-estabilizar/
"Google: por corrida pela IA, gigante das buscas cortará “regalias” para diminuir custos","Além disso, demissões em massa que abalaram a empresa no início deste ano ainda estão sendo “trabalhadas em alguns países”
O post Google: por corrida pela IA, gigante das buscas cortará “regalias” para diminuir custos apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/04/01/pro/google-por-corrida-pela-ia-gigante-das-buscas-cortara-regalias-para-diminuir-custos/
Quantum Break deixará o Game Pass em breve,"Sem explicação, jogo da Microsoft deixará o serviço da empresa  - Assim como todo mês temos novos jogos chegando ao Game Pass, também vemos títulos saindo  No entanto, um recente título adicionado...",https://www.gamevicio.com/noticias/2023/04/quantum-break-deixara-o-game-pass-em-breve/
Chefe da ID@Xbox afirma que Game Pass não irá prejudicar a indústria,"Serviço veio para acrescentar, não substituir as vendas normais  - Desde sua concepção, o Game Pass, serviço de assinatura da Microsoft, tem gerado muitas discussões de como poderia afetar negativamente...",https://www.gamevicio.com/noticias/2023/03/chefe-da-idaxbox-afirma-que-game-pass-nao-ira-prejudicar-a-industria/
Koei Tecmo tem interesse em lançar mais jogos no Game Pass e PS Plus,"Editora pergunta quais dos seus jogos os usuários gostariam de ver chegando aos serviços de assinatura  - Os serviços de assinatura caíram no gosto do público, permitindo um acesso a um amplo acervo...",https://www.gamevicio.com/noticias/2023/04/koei-tecmo-tem-interesse-em-lancar-mais-jogos-no-game-pass-e-ps-plus/
"Google disponibiliza AlloyDB Omni, o banco de dados compatível com PostgreSQL","O Google lançou o AlloyDB Omni, um banco de dados compatível com PostgreSQL que pode ser executado em qualquer lugar, incluindo nuvem pública, servidores",https://googlediscovery.com/2023/04/01/google-disponibiliza-alloydb-omni-o-banco-de-dados-compativel-com-postgresql/
Atualizações da semana | Mensagens Mantidas no WhatsApp e Apple Music Classical,"Inteligência artificial não é tudo que acontece no mundo da tecnologia, embora o assunto esteja em quase tudo por ora. Nesta semana, também foram lançadas várias atualizações importantes que podem ser importantes para você. <ul> <li>Koo dará selo de verificad…",https://canaltech.com.br/apps/atualizacoes-da-semana-mensagens-mantidas-no-whatsapp-e-apple-music-classical/
