"ORG_SUPER_BUSCA","ORG_SUPER_PADR_NOME","ORG_PADR_BUSCA","ORG_PADR_NOME","ORG_PADR_SIGLA","ORG_PADR_CODIGO","ORG_UNIF_BUSCA","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORG_PADR_ID","ORGAO_UNIFICADO_DT_ATUALIZACAO"
ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,AGU,46,Advocacia-Geral da União [AGU] [7] [SIORG],245,SIORG,7,Advocacia-Geral da União,AGU,ATIVO,46,7,2025-02-04 17:00:18.263
ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIAO [AGU] [63000] [SIAFI],463,SIAFI,63000,ADVOCACIA-GERAL DA UNIAO,AGU,ATIVO,46,7,2020-08-10 19:22:48.540
ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIAO [AGU] [20114] [SIAFI],465,SIAFI,20114,ADVOCACIA-GERAL DA UNIAO,AGU,ATIVO,46,7,2020-08-10 19:22:48.540
ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIAO [AGU] [40106] [SIAPE],74,SIAPE,40106,ADVOCACIA-GERAL DA UNIAO,AGU,NÃO INFORMADO,46,7,2018-10-18 18:35:11.517
ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO [AGU] [46],ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIAO [AGU] [40116] [SIAPE],542,SIAPE,40116,ADVOCACIA-GERAL DA UNIAO,AGU,ATIVO,46,7,2025-02-05 20:41:33.893
BANCO CENTRAL DO BRASIL [BCB] [89],BANCO CENTRAL DO BRASIL,BANCO CENTRAL DO BRASIL [BCB] [89],BANCO CENTRAL DO BRASIL,BCB,89,Banco Central do Brasil [BCB] [8] [SIORG],9,SIORG,8,Banco Central do Brasil,BCB,ATIVO,89,8,2025-02-04 16:59:17.747
BANCO CENTRAL DO BRASIL [BCB] [89],BANCO CENTRAL DO BRASIL,Conselho de Controle de Atividades Financeiras [COAF] [32061],Conselho de Controle de Atividades Financeiras,COAF,32061,Conselho de Controle de Atividades Financeiras [COAF] [213] [SIORG],36,SIORG,213,Conselho de Controle de Atividades Financeiras,COAF,ATIVO,32061,213,2025-02-04 16:59:24.960
BANCO CENTRAL DO BRASIL [BCB] [89],BANCO CENTRAL DO BRASIL,Conselho de Controle de Atividades Financeiras [COAF] [32061],Conselho de Controle de Atividades Financeiras,COAF,32061,CONSELHO DE CONTROLE DE ATIVIDADES FINANCEIRAS [COAF] [25202] [SIAPE],523,SIAPE,25202,CONSELHO DE CONTROLE DE ATIVIDADES FINANCEIRAS,COAF,ATIVO,32061,213,2021-02-10 15:42:45.713
CONTROLADORIA-GERAL DA UNIÃO [CGU] [214460],CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO [CGU] [214460],CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIAO [CGU] [37000] [SIAFI],306,SIAFI,37000,CONTROLADORIA-GERAL DA UNIAO,CGU,ATIVO,214460,180,2020-08-10 19:22:48.540
CONTROLADORIA-GERAL DA UNIÃO [CGU] [214460],CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO [CGU] [214460],CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CGU [CGU] [59000] [SIAPE],495,SIAPE,59000,CGU,CGU,NÃO INFORMADO,214460,180,2018-10-18 18:35:11.517
