"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORGAO_PADRONIZADO_ID","ORG_PADR_ID_OU"
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,63000,AGU,ADVOCACIA-GERAL DA UNIAO,SIAFI,463,ATIVO,46,245,7
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,20114,AGU,ADVOCACIA-GERAL DA UNIAO,SIAFI,465,ATIVO,46,245,7
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,40116,AGU,ADVOCACIA-GERAL DA UNIAO,SIAPE,542,ATIVO,46,245,7
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,40106,AGU,ADVOCACIA-GERAL DA UNIAO,SIAPE,74,NÃO INFORMADO,46,245,7
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,Advocacia-Geral da União,SIORG,245,ATIVO,46,245,7
8,BCB,BANCO CENTRAL DO BRASIL,213,COAF,Conselho de Controle de Atividades Financeiras,25202,COAF,CONSELHO DE CONTROLE DE ATIVIDADES FINANCEIRAS,SIAPE,523,ATIVO,32061,,213
8,BCB,BANCO CENTRAL DO BRASIL,8,BCB,BANCO CENTRAL DO BRASIL,8,BCB,Banco Central do Brasil,SIORG,9,ATIVO,89,,8
8,BCB,BANCO CENTRAL DO BRASIL,213,COAF,Conselho de Controle de Atividades Financeiras,213,COAF,Conselho de Controle de Atividades Financeiras,SIORG,36,ATIVO,32061,,213
180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,CONTROLADORIA-GERAL DA UNIÃO,37000,CGU,CONTROLADORIA-GERAL DA UNIAO,SIAFI,306,ATIVO,214460,270,180
180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,CONTROLADORIA-GERAL DA UNIÃO,59000,CGU,CGU,SIAPE,495,NÃO INFORMADO,214460,270,180
180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,Controladoria-Geral da União,SIORG,215,ATIVO,214460,,180
191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,22000,MAPA,MINISTERIO DA AGRICULTURA E PECUARIA,SIAFI,585,,308793,,191
191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,13000,MAPA,MINIST DA AGRICULTURA E DO ABASTECIMENTO,SIAPE,414,NÃO INFORMADO,14,37,191
191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,191,MAPA,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,13300,MAPA,MINISTERIO DA AGRICULTURA E PECUARIA,SIAPE,546,,308793,,191
